"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2010,"MUNICIPIO",1500107,"0,628","0,628","0,612","0,678"
2010,"MUNICIPIO",1500131,"0,622","0,622","0,612","0,678"
2010,"MUNICIPIO",1500206,"0,506","0,506","0,612","0,678"
2010,"MUNICIPIO",1500305,"0,489","0,489","0,612","0,678"
2010,"MUNICIPIO",1500347,"0,564","0,564","0,612","0,678"
2010,"MUNICIPIO",1500404,"0,564","0,564","0,612","0,678"
2010,"MUNICIPIO",1500503,"0,642","0,642","0,612","0,678"
2010,"MUNICIPIO",1500602,"0,665","0,665","0,612","0,678"
2010,"MUNICIPIO",1500701,"0,484","0,484","0,612","0,678"
2010,"MUNICIPIO",1500800,"0,718","0,718","0,612","0,678"
2010,"MUNICIPIO",1500859,"0,548","0,548","0,612","0,678"
2010,"MUNICIPIO",1500909,"0,52","0,52","0,612","0,678"
2010,"MUNICIPIO",1500958,"0,519","0,519","0,612","0,678"
2010,"MUNICIPIO",1501006,"0,541","0,541","0,612","0,678"
2010,"MUNICIPIO",1501105,"0,471","0,471","0,612","0,678"
2010,"MUNICIPIO",1501204,"0,578","0,578","0,612","0,678"
2010,"MUNICIPIO",1501253,"0,594","0,594","0,612","0,678"
2010,"MUNICIPIO",1501303,"0,662","0,662","0,612","0,678"
2010,"MUNICIPIO",1501402,"0,593","0,593","0,612","0,678"
2010,"MUNICIPIO",1501402,"0,592","0,592","0,612","0,678"
2010,"MUNICIPIO",1501402,"0,746","0,746","0,612","0,678"
2010,"MUNICIPIO",1501451,"0,588","0,588","0,612","0,678"
2010,"MUNICIPIO",1501501,"0,665","0,665","0,612","0,678"
2010,"MUNICIPIO",1501576,"0,589","0,589","0,612","0,678"
2010,"MUNICIPIO",1501576,"0,66","0,66","0,612","0,678"
2010,"MUNICIPIO",1501600,"0,561","0,561","0,612","0,678"
2010,"MUNICIPIO",1501600,"0,67","0,67","0,612","0,678"
2010,"MUNICIPIO",1501600,"0,561","0,561","0,612","0,678"
2010,"MUNICIPIO",1501600,"0,546","0,546","0,612","0,678"
2010,"MUNICIPIO",1501709,"0,6","0,6","0,612","0,678"
