"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF","15",8175113,7581051,3821837,3759214,2354401,4164279,1062371,1155587,2068485,535142
2015,"MUNICIPIO","150010",150431,141100,71630,69470,43357,78582,19161,21353,38398,9719
2015,"MUNICIPIO","150013",7126,6780,3533,3247,2123,3663,994,1027,1764,456
2015,"MUNICIPIO","150020",54064,53569,28115,25454,19368,27548,6653,9317,13015,3122
2015,"MUNICIPIO","150030",37398,35042,18453,16589,14493,16923,3626,7122,7813,1654
2015,"MUNICIPIO","150034",26305,25057,13618,11439,6912,15486,2659,3323,7057,1059
2015,"MUNICIPIO","150040",54662,52626,27030,25596,19772,25162,7692,9716,12182,3698
2015,"MUNICIPIO","150050",33372,33614,17468,16146,11860,17707,4047,5893,8478,1775
2015,"MUNICIPIO","150060",108382,99075,49819,49256,30291,55346,13438,14982,27828,6446
2015,"MUNICIPIO","150070",27540,24759,12957,11802,10746,11680,2333,5247,5488,1067
2015,"MUNICIPIO","150080",505404,471980,226635,245345,122784,280467,68729,60421,147065,37859
2015,"MUNICIPIO","150085",25414,20543,10992,9551,7357,10762,2424,3560,5036,955
2015,"MUNICIPIO","150090",43700,40497,20989,19508,15347,19835,5315,7602,9353,2553
2015,"MUNICIPIO","150095",29492,26546,13620,12926,9162,13954,3430,4574,6788,1564
2015,"MUNICIPIO","150100",15953,15849,8367,7482,6300,7304,2245,3064,3401,1017
2015,"MUNICIPIO","150110",28292,23864,12135,11729,10240,11527,2097,5105,5651,973
2015,"MUNICIPIO","150120",43757,36882,19446,17436,12948,19375,4559,6268,9080,2088
2015,"MUNICIPIO","150125",3267,3431,1847,1584,1051,1822,558,515,838,231
2015,"MUNICIPIO","150130",115779,99859,50346,49513,31933,56322,11604,15702,28168,5643
2015,"MUNICIPIO","150140",1439561,1393399,659008,734391,324777,813107,255515,159706,428290,146395
2015,"MUNICIPIO","150145",17036,16318,8481,7837,5670,7888,2760,2724,3773,1340
2015,"MUNICIPIO","150150",58637,51651,25815,25836,15279,29398,6974,7479,14783,3574
2015,"MUNICIPIO","150157",16227,15298,8051,7247,4724,8177,2397,2344,3835,1068
2015,"MUNICIPIO","150160",15282,13630,7114,6516,4414,7455,1761,2147,3546,823
2015,"MUNICIPIO","150170",121528,113227,57291,55936,36635,60282,16310,17977,29787,8172
2015,"MUNICIPIO","150172",14984,15690,8314,7376,4737,8515,2438,2302,3991,1083
2015,"MUNICIPIO","150175",7232,7317,3832,3485,2362,3808,1147,1118,1839,528
2015,"MUNICIPIO","150178",61222,52493,27085,25408,18951,27293,6249,9406,13229,2773
2015,"MUNICIPIO","150180",98231,92860,47788,45072,37862,44545,10453,18553,21432,5087
2015,"MUNICIPIO","150190",27689,25695,13335,12360,9409,12975,3311,4582,6216,1562
2015,"MUNICIPIO","150195",31300,26484,13720,12764,10624,13409,2451,5307,6403,1054
2015,"MUNICIPIO","150200",22449,20443,10545,9898,6716,10768,2959,3268,5135,1495
2015,"MUNICIPIO","150210",130868,120896,62016,58880,43027,61649,16220,21025,29613,8242
2015,"MUNICIPIO","150215",33632,26716,13585,13131,8582,15405,2729,4288,7640,1203
2015,"MUNICIPIO","150220",66353,63639,31494,32145,18050,35120,10469,8750,17932,5463
2015,"MUNICIPIO","150230",52693,51893,26621,25272,17115,27629,7149,8429,13420,3423
2015,"MUNICIPIO","150240",189784,173149,84476,88673,48898,99976,24275,24156,51517,13000
2015,"MUNICIPIO","150250",22566,21005,11180,9825,8343,10141,2521,4067,4613,1145
2015,"MUNICIPIO","150260",11682,11381,5879,5502,3681,5717,1983,1776,2746,980
2015,"MUNICIPIO","150270",46395,45557,23309,22248,13716,23754,8087,6614,11759,3875
2015,"MUNICIPIO","150275",31352,28216,14590,13626,9857,14915,3444,4715,7253,1658
2015,"MUNICIPIO","150276",12423,10466,6081,4385,3259,5914,1293,1606,2418,361
2015,"MUNICIPIO","150277",17709,18288,9666,8622,5733,9234,3321,2789,4536,1297
2015,"MUNICIPIO","150280",32248,28549,15059,13490,12185,13549,2815,5888,6299,1303
2015,"MUNICIPIO","150285",13562,12254,6456,5798,4825,5933,1496,2374,2740,684
2015,"MUNICIPIO","150290",37800,34294,17568,16726,10989,17239,6066,5497,8210,3019
2015,"MUNICIPIO","150293",56398,51319,26624,24695,16899,28768,5652,8177,13853,2665
2015,"MUNICIPIO","150295",32664,31786,16814,14972,11062,16434,4290,5340,7849,1783
2015,"MUNICIPIO","150300",7333,8177,4240,3937,3107,3955,1115,1525,1877,535
2015,"MUNICIPIO","150304",19261,17768,9551,8217,5702,9559,2507,2739,4459,1019
2015,"MUNICIPIO","150307",25326,25034,13107,11927,9135,12797,3102,4478,6018,1431
2015,"MUNICIPIO","150309",37975,30436,15750,14686,10015,16872,3549,5006,8123,1557
2015,"MUNICIPIO","150310",31623,29062,15400,13662,11843,14086,3133,5681,6512,1469
2015,"MUNICIPIO","150320",37333,35887,18117,17770,10787,19246,5854,5254,9554,2962
2015,"MUNICIPIO","150330",60343,58077,29674,28403,19646,30585,7846,9626,14842,3935
2015,"MUNICIPIO","150340",11053,10037,5170,4867,3164,5329,1544,1532,2582,753
2015,"MUNICIPIO","150345",58558,51309,26904,24405,17957,28475,4877,8689,13623,2093
2015,"MUNICIPIO","150350",31654,31364,16261,15103,10707,15703,4954,5193,7443,2467
2015,"MUNICIPIO","150360",98446,97493,49681,47812,30810,53625,13058,15319,26350,6143
2015,"MUNICIPIO","150370",51775,51220,27026,24194,18248,25951,7021,8793,12390,3011
2015,"MUNICIPIO","150375",9677,14103,8037,6066,4807,7793,1503,2292,3271,503
2015,"MUNICIPIO","150380",56006,51360,25769,25591,15899,29316,6145,7992,14631,2968
2015,"MUNICIPIO","150390",53989,47086,24578,22508,18727,22879,5480,9236,10672,2600
2015,"MUNICIPIO","150400",27368,25021,13115,11906,9509,12755,2757,4620,5920,1366
2015,"MUNICIPIO","150405",28959,27904,13740,14164,8987,14869,4048,4481,7632,2051
2015,"MUNICIPIO","150410",8279,8115,4258,3857,2688,3952,1475,1289,1851,717
2015,"MUNICIPIO","150420",262085,233669,118196,115473,73513,132519,27637,36271,65997,13205
2015,"MUNICIPIO","150430",28656,28376,14699,13677,9580,13843,4953,4761,6550,2366
2015,"MUNICIPIO","150440",27368,26605,13884,12721,8337,13222,5046,3984,6272,2465
2015,"MUNICIPIO","150442",122916,108246,53884,54362,31140,64462,12644,15094,32838,6430
