"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"MUNICIPIO",150330,222,222,222,42,180,11,25,33,21,90,144,78,11,0,3,1,2,8,0,0,0,0,3,0,11,0,11,0,0,0,11,8,1,1,5,2,0,0
2015,"MUNICIPIO",150060,707,707,707,199,508,32,80,123,84,189,483,218,45,0,25,13,12,13,1,8,0,0,13,3,36,1,35,0,0,0,36,23,8,1,5,5,1,0
2015,"MUNICIPIO",150580,196,196,196,29,167,12,16,48,8,83,131,65,9,0,15,12,3,10,0,0,0,0,14,0,15,0,15,0,0,0,15,7,5,3,1,0,0,0
2015,"MUNICIPIO",150070,51,51,51,7,44,2,10,13,2,17,32,19,6,0,5,4,1,0,0,1,0,0,4,0,7,0,7,0,0,0,7,5,0,1,1,0,0,0
2015,"MUNICIPIO",150030,99,99,99,14,85,0,15,22,8,40,63,36,5,0,7,6,1,7,0,0,0,0,5,0,4,0,4,0,0,0,4,3,1,1,1,0,0,0
2015,"MUNICIPIO",150310,58,58,58,11,47,4,9,13,3,18,37,21,3,0,4,2,2,2,1,2,0,0,2,0,4,1,3,0,0,0,4,2,0,3,0,0,0,0
2015,"MUNICIPIO",150835,75,75,75,21,54,3,8,13,3,27,53,22,6,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,3,2,1,1,0,1,0,0
2015,"MUNICIPIO",150445,106,106,106,45,61,5,6,23,10,17,82,24,6,0,0,0,0,0,1,0,0,0,0,0,9,1,8,0,0,0,9,6,2,1,1,2,0,0
2015,"MUNICIPIO",150360,582,582,582,141,441,31,62,160,35,153,404,178,42,0,16,15,1,3,2,0,0,0,16,0,67,2,65,0,0,0,67,37,8,22,20,6,1,1
2015,"MUNICIPIO",150780,42,42,42,8,34,2,5,8,0,19,24,18,2,0,2,1,1,6,0,0,0,0,1,1,6,0,6,0,0,0,6,2,3,1,1,0,0,0
2015,"MUNICIPIO",150270,260,260,260,37,223,6,24,63,18,112,168,92,15,0,7,4,3,1,0,0,0,0,5,0,18,0,18,0,0,0,18,9,3,4,4,4,0,1
2015,"MUNICIPIO",150080,2716,2716,2716,498,2218,183,421,621,315,678,1642,1067,182,0,77,58,19,22,2,7,1,0,65,0,103,2,101,0,0,0,103,67,3,21,21,37,1,7
2015,"MUNICIPIO",150220,367,367,367,38,329,17,49,96,51,116,219,148,17,0,7,6,1,6,1,1,0,0,6,0,17,1,16,0,0,0,17,12,2,4,4,3,0,0
2015,"MUNICIPIO",150180,341,341,341,37,304,22,38,53,29,162,185,156,21,0,23,17,6,20,1,2,0,0,17,0,19,1,18,0,0,0,19,12,4,1,2,2,0,2
2015,"MUNICIPIO",150660,124,124,124,23,101,3,13,17,9,59,79,45,5,0,3,1,2,0,0,0,0,0,2,0,5,0,5,0,0,0,5,1,1,0,2,0,0,1
2015,"MUNICIPIO",150010,623,623,623,122,501,14,57,106,73,251,393,229,42,0,25,11,14,7,1,2,0,0,23,0,27,1,26,0,0,0,27,17,5,7,5,8,0,1
2015,"MUNICIPIO",150280,50,50,50,5,45,3,4,10,9,19,37,13,3,0,7,6,1,4,1,4,1,0,2,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
2015,"MUNICIPIO",150215,167,167,167,53,114,7,12,31,11,53,116,50,14,0,13,12,1,8,0,0,0,0,12,0,3,0,3,0,0,0,3,3,0,0,1,0,0,1
2015,"MUNICIPIO",150140,9133,9133,9133,1245,7888,599,1577,2174,1279,2259,5072,4058,572,0,173,111,62,100,6,25,1,0,141,0,762,6,756,0,0,0,762,510,42,138,207,239,22,70
2015,"MUNICIPIO",150050,114,114,114,23,91,2,15,29,7,38,70,44,5,0,7,7,0,3,0,0,0,0,5,2,2,0,2,0,0,0,2,2,0,0,0,1,0,0
2015,"MUNICIPIO",150130,422,422,422,93,329,23,51,100,41,114,266,156,38,0,16,7,9,12,0,0,0,0,16,0,23,0,23,0,0,0,23,15,3,5,7,7,0,0
2015,"MUNICIPIO",150470,273,273,273,85,188,8,23,39,23,95,183,89,22,0,8,5,3,3,1,2,0,0,6,0,25,1,24,0,0,0,25,16,5,6,7,4,0,0
2015,"MUNICIPIO",150650,327,327,327,86,241,12,49,72,29,79,215,112,20,0,7,3,4,4,0,1,0,0,6,0,26,0,26,0,0,0,26,14,1,8,11,4,0,0
2015,"MUNICIPIO",150655,83,83,83,17,66,2,9,22,5,28,50,33,6,0,2,2,0,0,0,0,0,0,2,0,4,0,4,0,0,0,4,3,1,1,1,0,0,0
2015,"MUNICIPIO",150510,224,224,224,28,196,7,29,62,20,78,127,97,4,0,9,6,3,4,1,2,0,0,5,2,8,1,7,0,0,0,8,4,1,2,2,2,0,1
2015,"MUNICIPIO",150618,240,240,240,63,177,8,24,76,9,60,166,74,15,0,10,5,5,6,0,0,0,0,10,0,7,0,7,0,0,0,7,6,0,5,1,1,0,0
2015,"MUNICIPIO",150420,1243,1243,1243,347,896,75,132,251,85,353,825,418,75,0,40,19,21,21,0,5,1,0,33,0,36,0,36,0,0,0,36,20,8,8,6,11,0,2
2015,"MUNICIPIO",150250,41,41,41,4,37,1,3,17,4,12,25,16,1,0,2,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,2,1,1,0,1,0,0,0
2015,"MUNICIPIO",150460,110,110,110,14,96,4,16,40,10,26,69,41,9,0,0,0,0,2,0,0,0,0,0,0,11,0,11,0,0,0,11,6,1,4,0,4,0,0
2015,"MUNICIPIO",150815,197,197,197,45,152,11,18,58,10,55,135,62,11,0,6,6,0,5,0,0,0,0,6,0,3,0,3,0,0,0,3,1,0,3,0,0,0,0
2015,"MUNICIPIO",150375,57,57,57,14,43,1,3,12,8,19,46,11,0,0,9,8,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",150710,59,59,59,11,48,2,8,10,3,25,30,29,3,0,1,1,0,1,0,0,0,0,1,0,7,0,7,0,0,0,7,2,0,2,2,1,0,0
2015,"MUNICIPIO",150700,136,136,136,28,108,9,13,32,16,38,84,52,10,0,5,4,1,1,0,2,0,0,2,0,18,0,18,0,0,0,18,8,2,6,2,2,0,0
2015,"MUNICIPIO",150800,269,269,269,69,200,8,32,46,21,93,168,101,24,0,7,6,1,8,0,1,0,0,4,1,15,0,15,0,0,0,15,10,0,5,6,2,0,1
2015,"MUNICIPIO",150745,125,125,125,29,96,3,13,35,7,38,74,51,11,0,3,2,1,2,0,1,0,0,2,0,11,0,11,0,0,0,11,8,3,5,1,0,0,0
2015,"MUNICIPIO",150795,337,337,337,90,247,9,31,61,19,127,239,97,23,0,12,9,3,6,1,2,0,0,8,0,4,1,3,0,0,0,4,2,1,0,2,0,0,0
2015,"MUNICIPIO",150840,207,207,207,43,164,6,15,78,23,42,142,65,14,0,3,2,1,5,0,0,0,0,3,0,6,0,6,0,0,0,6,5,0,1,1,2,0,0
2015,"MUNICIPIO",150670,191,191,191,49,142,10,17,41,10,64,140,51,17,0,5,2,3,3,0,2,0,0,3,0,13,0,13,0,0,0,13,10,1,3,7,0,0,0
2015,"MUNICIPIO",150175,35,35,35,14,21,1,1,5,0,14,24,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",150613,476,476,476,85,391,21,54,109,43,164,302,174,33,0,10,10,0,9,1,1,0,0,7,0,59,1,58,0,0,0,59,26,10,20,17,7,0,1
2015,"MUNICIPIO",150808,161,161,161,37,124,9,15,28,9,63,98,63,16,0,7,5,2,3,0,2,0,0,5,0,8,0,8,0,0,0,8,6,1,3,1,1,0,1
2015,"MUNICIPIO",150750,58,58,58,15,43,2,3,15,4,19,40,18,5,0,2,2,0,1,0,0,0,0,2,0,3,0,3,0,0,0,3,3,0,2,0,1,0,0
2015,"MUNICIPIO",150530,238,238,238,28,210,15,25,54,21,95,140,98,19,0,16,14,2,9,1,4,1,0,11,0,17,1,16,0,0,0,17,12,3,3,4,1,0,0
2015,"MUNICIPIO",150157,58,58,58,11,47,3,7,13,7,17,38,20,3,0,2,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
2015,"MUNICIPIO",150172,95,95,95,28,67,3,7,22,5,30,68,26,8,0,1,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
2015,"MUNICIPIO",150690,18,18,18,0,18,2,2,7,2,5,9,9,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,2,0,0,1,1,0,0
2015,"MUNICIPIO",150590,86,86,86,6,80,2,12,17,4,45,57,29,9,0,5,2,3,2,1,0,0,0,5,0,4,1,3,0,0,0,4,4,1,0,3,0,0,0
2015,"MUNICIPIO",150548,176,176,176,63,113,4,20,44,8,37,125,51,9,0,2,0,2,3,1,0,1,0,1,0,15,1,14,0,0,0,15,7,3,3,4,2,0,0
