"Ano.de.Referência","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
2015,"MUNICIPIO",150010,23166,NA
2015,"MUNICIPIO",150013,7052,NA
2015,"MUNICIPIO",150020,12738,NA
2015,"MUNICIPIO",150030,4651,NA
2015,"MUNICIPIO",150034,NA,NA
2015,"MUNICIPIO",150040,9778,NA
2015,"MUNICIPIO",150050,NA,NA
2015,"MUNICIPIO",150060,15960,NA
2015,"MUNICIPIO",150070,1993,NA
2015,"MUNICIPIO",150080,145599,10576
2015,"MUNICIPIO",150085,NA,NA
2015,"MUNICIPIO",150090,2357,NA
2015,"MUNICIPIO",150095,NA,NA
2015,"MUNICIPIO",150100,NA,NA
2015,"MUNICIPIO",150110,NA,NA
2015,"MUNICIPIO",150120,32000,NA
2015,"MUNICIPIO",150125,NA,NA
2015,"MUNICIPIO",150130,24494,12000
2015,"MUNICIPIO",150140,1402645,184259
2015,"MUNICIPIO",150145,NA,NA
2015,"MUNICIPIO",150150,NA,NA
2015,"MUNICIPIO",150157,12074,NA
2015,"MUNICIPIO",150160,NA,NA
2015,"MUNICIPIO",150170,21106,NA
2015,"MUNICIPIO",150172,9677,NA
2015,"MUNICIPIO",150175,NA,NA
2015,"MUNICIPIO",150178,4631,NA
2015,"MUNICIPIO",150180,25817,NA
2015,"MUNICIPIO",150190,NA,NA
2015,"MUNICIPIO",150200,2609,NA
2015,"MUNICIPIO",150195,22000,NA
2015,"MUNICIPIO",150210,73216,NA
2015,"MUNICIPIO",150215,NA,NA
2015,"MUNICIPIO",150220,6808,NA
2015,"MUNICIPIO",150230,10475,NA
2015,"MUNICIPIO",150240,61720,85010
2015,"MUNICIPIO",150250,NA,NA
2015,"MUNICIPIO",150260,NA,NA
2015,"MUNICIPIO",150270,23175,NA
2015,"MUNICIPIO",150275,14835,NA
2015,"MUNICIPIO",150276,NA,NA
2015,"MUNICIPIO",150277,13494,NA
2015,"MUNICIPIO",150280,15843,NA
2015,"MUNICIPIO",150285,NA,NA
2015,"MUNICIPIO",150290,NA,NA
2015,"MUNICIPIO",150293,7548,NA
2015,"MUNICIPIO",150295,12662,NA
2015,"MUNICIPIO",150300,5302,NA
2015,"MUNICIPIO",150304,3400,100
2015,"MUNICIPIO",150307,18550,NA
2015,"MUNICIPIO",150309,NA,NA
2015,"MUNICIPIO",150310,NA,NA
2015,"MUNICIPIO",150320,NA,NA
2015,"MUNICIPIO",150330,9667,NA
2015,"MUNICIPIO",150340,2208,NA
2015,"MUNICIPIO",150345,NA,NA
2015,"MUNICIPIO",150350,NA,NA
2015,"MUNICIPIO",150360,6854,NA
2015,"MUNICIPIO",150370,1484,NA
2015,"MUNICIPIO",150375,4000,NA
2015,"MUNICIPIO",150380,13670,NA
2015,"MUNICIPIO",150390,NA,NA
2015,"MUNICIPIO",150400,5582,NA
2015,"MUNICIPIO",150405,NA,NA
2015,"MUNICIPIO",150410,4270,NA
2015,"MUNICIPIO",150420,84996,NA
2015,"MUNICIPIO",150430,5000,NA
2015,"MUNICIPIO",150440,10198,NA
2015,"MUNICIPIO",150442,17716,NA
2015,"MUNICIPIO",150445,NA,NA
2015,"MUNICIPIO",150450,4078,NA
2015,"MUNICIPIO",150460,11009,NA
2015,"MUNICIPIO",150470,5943,NA
2015,"MUNICIPIO",150475,NA,NA
2015,"MUNICIPIO",150480,9565,NA
2015,"MUNICIPIO",150490,NA,NA
2015,"MUNICIPIO",150495,NA,NA
2015,"MUNICIPIO",150497,NA,NA
2015,"MUNICIPIO",150500,2893,NA
